Filename,Preamble Snippet
"MetLife, Inc. - Remarketing Agreement.txt","Exhibit 99.1

EXECUTION VERSION

METLIFE, INC.

Series E Senior Component Debentures, Tranche 1, due 2018 Series E Senior Component Debentures, Tranche 2, due 2045

REMARKETING AGREEMENT

August 26, 2014

Deutsche Bank Securities Inc. 60 Wall Street New York, New York 10005

Ladies and Gentlemen:

This Remarketing Agreement is dated as of August 26, 2014 (this ""Remarketing Agreement""), among MetLife, Inc., a Delaware corporation (the ""Company""), and Deutsche Bank Securities Inc. (""Deutsche Bank"""
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.txt","Exhibit 99.4   STRATEGIC ALLIANCE AGREEMENT   ""EDGE-FTE""   THIS STRATEGIC ALLIANCE AGREEMENT (the ""Agreement""), made effective this 17t h day of February 2016, through February 16, 2019 (the ""Initial Term"") is entered into by and between EDGE Communications Solutions, LLC, with its principal place of business at 6505 Windcrest Drive, Suite 200, Plano, TX 75024 (hereinafter referred to as ""EDGE""), and FTE Networks, Inc. with its principal place of business at 999 Vanderbilt Beach Road, Suite 601,"
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.txt,"Exhibit h(2)                               SPONSORSHIP AGREEMENT

         SPONSORSHIP AGREEMENT, dated as of February 4, 2005, by and between Domini Advisor Trust, a Massachusetts business trust (the ""Trust""), and Domini Social Investments LLC, a Massachusetts limited liability company (""Domini"" or the ""Sponsor"").

                              W I T N E S S E T H:

         WHEREAS, the Trust is engaged in business as an open-end investment company registered under the Investment Company Act o"
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3.txt,"APPENDIX C SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT (BETWEEN FRANCHISEE AND ITS PERSONNEL) THIS SAMPLE OF NON-DISCLOSURE AND NON-COMPETITION AGREEMENT ( ""Agreement"")  is  made this  _____ day of _________, 20___, by and between ___________________________ (the ""Franchisee""), and ___________________________, who is an officer, director, or employee of Franchisee (the ""Member""). RECITALS: WHEREAS, __________________ (""Franchisor"") has developed a distinctive set of specifications and"
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.txt,"Exhibit 10.4

INTELLECTUAL PROPERTY AGREEMENT

by and between

Nuance Communications, Inc.

and

Cerence Inc.

Dated as of September 30, 2019

Source: CERENCE INC., 8-K, 10/2/2019





TABLE OF CONTENTS Page ARTICLE I DEFINITIONS

Section 1.01. Definitions 1

ARTICLE II RECORDATION OF INTELLECTUAL PROPERTY RIGHTS ASSIGNMENT AGREEMENTS

Section 2.01. Intellectual Property Assignment Agreements 5 Section 2.02. Recordation 5 Section 2.03. Security Interests 5

ARTICLE III LICENSES AND COVENANTS FRO"
ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement.txt,"ENDORSEMENT

Contract Number: ENDORSEMENT

Effective Date: July 1, 2019

Thrivent Life Insurance Company has been dissolved. (Thrivent Life Insurance Company was formerly known as Lutheran Brotherhood Variable Insurance Products Company.) All assets and related liabilities of Thrivent Life Insurance Company have been transferred to Thrivent Financial for Lutherans. That includes contracts of insurance, separate accounts, and cash and investment securities. Thrivent Financial for Lutherans now ha"
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.txt,"Exhibit 10.18

MASTER SUPPLY AGREEMENT

MASTER SUPPLY AGREEMENT (the ""Agreement"") dated November 1, 2019 (the ""Effective Date"") between REYNOLDS CONSUMER PRODUCTS LLC, a Delaware limited liability company with its headquarters at 1900 West Field Court, Lake Forest, IL 60045 (""Seller""), and PACTIV LLC, a Delaware limited liability company with its headquarters at 1900 West Field Court, Lake Forest, IL 60045 (""Buyer""). Seller and Buyer are referred to individually at times as a ""Party"" and collect"
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.txt,"DISTRIBUTION AND SERVICES AGREEMENT January 18, 2020 This is to confirm that, in consideration of the agreements hereinafter contained, the undersigned, the Integrity Short Term Government Fund, (the ""Fund""), an open-end, diversified, management investment company organized as a series of The Integrity Funds, a Delaware statutory trust, has agreed that Integrity Funds Distributor, LLC, (""Integrity""), shall be, for the period of this distribution agreement (the ""Agreement""), the principal underwr"
PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.txt,"Exhibit 10.2   INTELLECTUAL PROPERTY AGREEMENT   This Intellectual Property Agreement (this ""Agreement"") is entered into on May 12, 2020 (""Effective Date""), concerning the pursuits set forth herein for the collective development, implementation and commercialization of a potential treatment for the COVID-19 virus and its effects on the human body (collectively referred to herein as the ""Joint Venture"") by and between:   Marv Enterprises, LLC, a Limited Liability Company organized under the laws "
"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.txt","Exhibit 2.01   Strategic Alliance Agreement   This agreement is made and entered into this 30th day of November, 2017 by and between Bravatek Solutions, Inc., a corporation organized under the laws of the State of Colorado, (""Bravatek""), with an address at 2028 E. Ben White Blvd., Unit #240-2835, Austin, Texas, 78741, and Sibannac, Inc. (""COMPANY""), a corporation organized under the laws of Nevada, with an address at 2122 E Highland Avenue, Suite 425, Phoenix, Arizona 85016.   Whereas, Bravatek "
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.txt,"Exhibit 10.22



                      1

                   Strategic Alliance Agreement                     Intricon Corporation  1260 Red Fox Road  Arden Hills, Minnesota 55112  United States                   and                   Dynamic Hearing Pty Ltd  2 Chapel Street, Richmond, VIC 3121  AUSTRALIA





      AGREEMENT     This Agreement is entered into and is effective as of the 1st day of October, 2008 (Commencement Date) by and between IntriCon  Corporation, a Pennsylvania Corporation "
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.txt,"EXHIBIT 99.3 Case 18-10248- MFW Doc 632-1 Filed 04/18/18 Page 2 of 60

AGENCY AGREEMENT This Agency Agreement (""Agreement"") is made as of April 18, 2018, by and between The Bon-Ton Stores, Inc. and its associated chapter 11 debtors in possession (collectively, ""Merchant""),1 on the one hand, and (a) a contractual joint venture comprised of GA Retail, Inc. (""GA"") and Tiger Capital Group, LLC (""Tiger"" and collectively with GA, the ""Agent"") and (b) Wilmington Savings Fund Society, FSB, as the indent"
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.txt","Exhibit 10.3

                                                                       EXHIBIT C

                        SUPPORT AND MAINTENANCE AGREEMENT

      SUPPORT AND MAINTENANCE AGREEMENT dated as of April __, 2005 (the ""Effective Date""), between On2 Technologies, Inc., a Delaware corporation (""On2""), and Wildform, Inc., a California corporation (""Wildform""). Capitalized terms used herein and not defined herein shall have the meanings given to them in Asset Purchase Agreement (as defined "
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement.txt,"By Client: /s/ Natalija Tunevic

Website Design, Development and Hosting Agreement

This Website Design, Development and Hosting Agreement the (""Agreement"") is entered into on January 11, 2018 by and between Natalija Tunevic, director of FreeCook (hereinafter referred to as ""Client"") and Mitchell Vitalis, director of Mitchell's Web Advance, PLC (hereinafter referred to as ""Company"").

1. Website Design and Development. Client agrees to pay to Company the sum of $5,000 (the ""Contract Price"") to d"
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.txt,"Exhibit 4.14 SERVICE AGREEMENT This Service Agreement (""Agreement"") is entered into on April. 1st 2019 (""Effective Date"") by and between: PC Financial Services Private Limited, a India company with an address at Building RZ-2, Pole No.-3, G/F Kapashera, Near HDFC Bank, New Delhi (""PC Financial""), a registered Non-banking Financial Company (NBFC) in India; and Mobimagic Co., Ltd., a company Incorporated under the laws of the People 's Republic of China with its principal place of business at Room"
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.txt","Exhibit 10.1

JOINT VENTURE AGREEMENT THIS JOINT VENTURE AGREEMENT (the ""Agreement"") made and entered into this 20th day of Friday, March 2020 (the ""Execution Date""), BETWEEN: BorrowMoney.com, inc of 512 Bayshore DR, suite 201 Fort Lauderdale FL 33304, and JVLS, LLC dba Vaccines 2Go of 4060 Johns Creek Parkway Suite H Suwanee, GA 30024 (individually the ""Member"" and collectively the ""Members""). BACKGROUND: A. The Members wish to enter into an association of mutual benefit and agree to jointly in"
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.txt,"Exhibit 10.1

INTELLECTUAL PROPERTY AGREEMENT

THIS INTELLECTUAL PROPERTY AGREEMENT (this ""IP Agreement"") is entered into as of April 14, 2014 (the ""Effective Date""), by and between Motorola Solutions, Inc., a Delaware corporation (the ""Seller""), and Zebra Technologies Corporation, a Delaware corporation (the ""Purchaser"").

RECITALS

WHEREAS, the Seller, directly and through certain of its Affiliates, is engaged in the Business;

WHEREAS, the Seller desires to sell and transfer to the Purchaser,"
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.txt,"Exhibit 10.33

EXECUTION VERSION CONFIDENTIAL

DOMAIN NAME AND CONTENT LICENSE AGREEMENT

This Domain Name and Content License Agreement (the ""Agreement"") is made and entered into, by and between Beijing SINA Internet  Information Service Co., Ltd. ( ), a limited liability company organized under the laws of the People's Republic  of China (hereinafter ""Licensor"") and Beijing Yisheng Leju Information Services Co., Ltd., a limited liability company organized under the laws of  the People's Republ"
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.txt","Exhibit 10.4   INTELLECTUAL PROPERTY AGREEMENT   This INTELLECTUAL PROPERTY AGREEMENT (this ""Agreement"" or ""IPA""), effective as of this 30  day of June 2016 (the ""Effective Date"") among THE HERTZ CORPORATION, a Delaware corporation, with an address of 8501 Williams Road, Estero, Florida 33928 (hereinafter ""THC""); HERTZ SYSTEM, INC., a Delaware corporation, with an address of 8501 Williams Road, Estero, Florida 33928, United States of America (hereinafter ""HSI"") and HERC RENTALS INC., a Delaware "
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.txt,"Exhibit 10.16 CONSULTING AGREEMENT This Consulting Agreement (the ""Agreement"") is made and entered into as of this 2nd day of January 2020, by and between Global Technologies, Ltd (hereinafter the ""Company""), a Delaware corporation whose address is 501 1st Ave N., Suite 901, St. Petersburg, FL 33701 and Timothy Cabrera (hereinafter the ""Consultant""), an individual whose address is 11718 SE Federal Hwy., Suite 372, Hobe Sound, FL 33455 (individually, a ""Party""; collectively, the ""Parties""). This "
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.txt,"FORM OF FRANCHISE AGREEMENT Location of the Premises: Agreement Date Franchisee Business Address

Type of Legal Entity (if applicable) State in which entity organized (if applicable) Shareholder / Partner / Member Name Ownership Percentage % (the ""Operating Principal"") % % % %

Source: PF HOSPITALITY GROUP INC., 10-12G, 9/23/2015





TABLE OF CONTENTS SECTION PAGE 1. RIGHTS GRANTED 2 2. TERM; SUCCESSOR FRANCHISE AGREEMENTS 4 3. FEES 4 4. OPENING DEADLINE 6 5. TRAINING 10 6. OPERATIONS 11 7. PRO"
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.txt,"1                                                                     EXHIBIT 10.5

                                CORIO INC.                           LICENSE AND HOSTING AGREEMENT

     This License and Hosting Agreement (the ""AGREEMENT"") is made and entered into as of October 29, 1999 (""EFFECTIVE DATE"") by and between Corio Inc., a Delaware corporation, having its principal place of business at 700 Bay Road, Suite 210, Redwood City, CA 94063 (""CORIO"") and Commerce One, Inc., a Delaware corpo"
TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.txt,"Exhibit 10.4

COOPERATION AGREEMENT

(2014 Amendment)

This Cooperation Agreement (2014 Amendment) (this ""Agreement"") is entered into on January 24, 2014 in Beijing by and between:

(1) Nanjing Tuniu Technology Co., Ltd., with its registered address at 3-5/F Building No.6, Southeast University Science Park, 6 Changjianghou Street, Xuanwu District, Nanjing and its legal representative being Yu Dunde (""Party A"");

(2) Beijing Tuniu Technology Co., Ltd., with its registered address at R1006 10/F Bu"
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.txt,"EXHIBIT 10.13                  Cyberian Outpost, Inc. has omitted from this Exhibit 10.13 portions of the Agreement for which Cyberian Outpost, Inc. has requested confidential treatment from the Securities and Exchange Commission. The portions of the Agreement for which confidential treatment has been requested are marked with X's in brackets and such confidential portions have been filed separately with the Securities and Exchange Commission.

                              PROMOTION AGREEMENT

"
SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.txt,"Contract No.: DDCX S DG KC 201812130044 Exhibit 10.5 Collaboration Agreement This Collaboration Agreement (hereinafter referred to as this ""Agreement"") is made and entered into by and between the following parties in Haidian District, Beijing. This Agreement may be executed in paper form offline or in electronic form through the Didi Chuxing Online Contracting Platform (website: https://Agreement.didichuxing.com/, hereinafter referred to as the ""Contracting Platform""). The Agreement executed off"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.txt,"WALABOT-HOME RESELLER AGREEMENT This Walabot-HOME Reseller Agreement (""Agreement"") is made and entered into as of this 31 day of July 2019 (""Effective Date"") by and between Vayyar Imaging Ltd., having its principal place of business at 3 Avraham Giron St., POB. 325, Yehud 5621717, Israel (""Supplier""), and Inde Living Holdings, Inc., having its principal place of business at 1462 Rudder Lane, Knoxville, TN 37919 (""Reseller""). Vayyar and Reseller shall be referred to individually as ""Party"" and co"
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.txt,"EXHIBIT 10.2

[LOGO AMERICAN EXPRESS]               INCENTIVE               SERVICES

--------------------------------------------------------------------------------                               RESELLER INFORMATION

Company Name: Schoolpop, Inc. Address:3885 Crestwood Parkway, Suite 550

City: Duluth                                    State: GA             Zip: 30096 Contact Name: Paul Robinson Phone: 770-638-5101                             Fax:  770-638-5101 TAX ID #:                       "
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.txt,"1

                                                                 EXHIBIT 10.4

                 LICENSING AND WEB SITE HOSTING AGREEMENT

     This Agreement is entered into on February 26, 1999, (the ""Effective Date"") by and between Mortgage Logic.com, Inc. (""Client""), with an address at Two Venture Plaza, 2 Venture, Irvine, California 92618 and TrueLink, Inc. (""TrueLink""), with an address at 3026 South Higuera, San Luis Obispo, California 93401.

     WHEREAS, TrueLink is in the business of"
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.txt,"Exhibit 10.24    [***] Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 24b-2 of the Securities Exchange Act of 1934, as amended.   EXECUTION VERSION   STRATEGIC ALLIANCE AGREEMENT

  THIS STRATEGIC ALLIANCE AGREEMENT (""Agreement"") is made and entered into as of November 6, 2016 (the ""Effective Date"") by and between Dialog Semiconductor (UK) Ltd., a corporation organ"
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.txt,"Exhibit 10.5

Certain identified information has been excluded because it is both not material and would likely cause competitive harm if publicly disclosed.

COMMERCIALIZATION AND LICENSE AGREEMENT

This Commercialization and License Agreement (this ""Agreement"") is made effective as of December 17, 2019 (the ""Effective Date"") by and between Vyera Pharmaceuticals, LLC, a Delaware limited liability company (""Vyera""), and CytoDyn Inc., a Delaware corporation (""CytoDyn""). CytoDyn and Vyera are some"
MSCIINC_02_28_2008-EX-10.10-.txt,"Exhibit 10.10

EXECUTION VERSION

INTELLECTUAL PROPERTY AGREEMENT

This Intellectual Property Agreement (the ""Agreement""), is entered into as of November 20, 2007 (the ""Effective Date""), by and between Morgan Stanley & Co. Incorporated, a Delaware corporation (""MS"") and MSCI Inc., a Delaware corporation (""MSCI""). (MS and MSCI individually referred to as a ""Party"" and collectively as the ""Parties"").   1. DEFINITIONS

  1.1 Certain Definitions.

As used in this Agreement:

  (a) ""Including"" and it"
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.txt,"EXHIBIT 4.5

                       MANUFACTURING OUTSOURCING AGREEMENT

This Manufacturing Outsourcing Agreement (The ""AGREEMENT"") is entered into on January 21st, 2002, by and between Nice Systems Ltd., an Israeli registered corporation no. 52-0036872 having its place of business at 8 Hapnina Street, P.O.B 690, Ra'anana 43107, Israel, (""NICE"") and Flextronics Israel Ltd., an Israeli registered corporation no. 51-2933045, having its place of business at 1 Hatasiya Str., Ramat Gabriel Industrial"
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.txt,"[Confidential Treatment Requested]

                     Exhibit 10.11

CO-BRANDING AGREEMENT

This Co-Branding Agreement (this ""Agreement"") dated March 3, 2000 (the ""Effective Date"") is entered into between VerticalNet, Inc., a Pennsylvania corporation having a principal place of business at 700 Dresher Road, Suite 100, Horsham, Pennsylvania, 19044 (""VerticalNet""), and Impresse Corporation, a California Corporation, having a principal place of business at 1309 South Mary Avenue, Sunnyvale, Cali"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.txt,"Exhibit 10.19 JOINT CONTENT LICENSE AGREEMENT This JOINT CONTENT LICENSE AGREEMENT (the ""Agreement""), dated February 1, 2018 (the ""Effective Date""), is made by and between WPT Enterprises, Inc., a Delaware corporation, with offices located at 1920 Main Street, Suite 1150, Irvine, CA 92614 (""WPT""), and ZYNGA INC., a Delaware corporation with offices located at 699 8th Street, San Francisco CA, 94103 (""Zynga US"") and ZYNGA GAME IRELAND LIMITED, a limited company organized under the laws of Ireland"
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.txt,"Exhibit 10.1

Strategic Alliance Agreement

AGREEMENT made as of  , 2013, between Freedom Mortgage Corporation, a New Jersey corporation (""Freedom Mortgage""), and Cherry Hill Mortgage Investment Corp., a Maryland corporation (""Cherry Hill"").

WITNESSETH:

WHEREAS, Freedom Mortgage is a privately held, national mortgage bank that originates and services mortgage loans secured by liens on one- to four-family properties; and

WHEREAS, Cherry Hill is a newly formed affiliate of Freedom Mortgage that"
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.txt,"Exhibit 10.33   Last Updated: April 6, 2007     CHASE AFFILIATE AGREEMENT   THIS AGREEMENT sets forth the terms and conditions agreed to between Chase Bank USA, N.A. (?Chase?) and you as an ""Affiliate"" in the Chase Affiliate Program (the ""Affiliate Program""). Once accepted into the Affiliate Program, an Affiliate can establish links from the Affiliate's Website to [Chase.com]. Chase will pay Affiliate a fee for each approved credit card account that originates from a link in Affiliate's Website."
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT.txt,"EXHIBIT 10.46

                             WEB HOSTING AGREEMENT

This agreement shall void and nullify any and all previous agreements to this date between Galacticomm and Horst Entertainment Inc.

There shall be no additional fees of any kind paid to Galaticomm, other than those stated within this agreement for software usage and/or bandwidth usage.

Horst Entertainment agrees to pay Galactcomm $0.01 (one cent) per access up to 400,000 accesses thereafter payment shall be $0.005 (one-half cen"
"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT.txt","Exhibit 10.1 MANUFACTURING, DESIGN AND MARKETING AGREEMENT This MANUFACTURING, DESIGN AND MARKETING AGREEMENT (this ""Agreement"") is entered into by and between Zounds Hearing, Inc., a Delaware corporation (""Subcontractor"") and InnerScope Hearing Technologies, Inc., a Nevada corporation, (the ""Manufacturer"") Manufacturer dated effective October 3, 2018 (the ""Effective Date""). Subcontractor and Manufacturer may also be referred to herein individually as ""Party"" or collectively as the ""Parties"". RE"
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.txt,"Ex 10.3

SERVICING AGREEMENT

between

CURO RECEIVABLES FINANCE II, LLC, as Owner

and

CURO MANAGEMENT, LLC, as Servicer

Dated as of April 8, 2020

This SERVICING AGREEMENT (this ""Agreement"") is entered into as of April 8, 2020, by and between CURO RECEIVABLES FINANCE II, LLC, a Delaware limited liability company (the ""Owner""), and CURO MANAGEMENT, LLC, a Delaware limited liability company, as servicer (the ""Servicer"").

Capitalized terms used but not defined herein shall have the meanings set"
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.txt,"Exhibit 10.8 Affiliate Program / Premium Affiliate Management General Terms and Conditions

The following General Terms and Conditions are intended for (i) Web site owners (hereafter, ""Affiliates"") who wish to participate as Affiliates in the Affiliate Program provided by element 5 (governed by II. and IV. in these General Terms and Conditions) on the basis of these General Terms and Conditions and also for (ii) Software Publishers who distribute their software products as downloads using the se"
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.txt,"Execution Version Certain identified information has been excluded from the exhibit because it is both (i) not material and (ii) would likely cause competitive harm to the Company, if publicly disclosed. Double asterisks denote omissions.   DEVELOPMENT AGREEMENT   This Development Agreement (""this Agreement"") is entered into and effective as of September 30, 2019 (""Effective   Date"") by and between Howmedica Osteonics Corp., a New Jersey corporation, also known as Stryker Orthopaedics   (""Stryke"
Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement.txt,"BROKER DEALER   MARKETING AND SERVICING AGREEMENT   FOR VARIABLE ANNUITY CONTRACTS      This Broker Dealer Marketing and Servicing Agreement for Variable Annuity Contracts (the ""Agreement"") is   effective this ______ day of ________________, 2013, by and among Principal Life Insurance Company   (""Issuer"") and Princor Financial Services Corporation (""Distributor""), on the one hand, and   _______________________ and its duly licensed insurance affiliates indicated on the signature page of this   A"
